Spectral Data 380[nm],0.000292291457
Spectral Data 385[nm],0.000347744179
Spectral Data 390[nm],0.000339091173
Spectral Data 395[nm],0.000228599834
Spectral Data 400[nm],0.000147426996
Spectral Data 405[nm],0.000136073533
Spectral Data 410[nm],0.000122093988
Spectral Data 415[nm],0.000108784196
Spectral Data 420[nm],0.000119774108
Spectral Data 425[nm],0.000161435557
Spectral Data 430[nm],0.000229703073
Spectral Data 435[nm],0.000357024284
Spectral Data 440[nm],0.000563176756
Spectral Data 445[nm],0.000825283001
Spectral Data 450[nm],0.001104771392
Spectral Data 455[nm],0.001358404406
Spectral Data 460[nm],0.001534016221
Spectral Data 465[nm],0.001546919812
Spectral Data 470[nm],0.001443459187
Spectral Data 475[nm],0.001310449559
Spectral Data 480[nm],0.001180361840
Spectral Data 485[nm],0.001097747008
Spectral Data 490[nm],0.001115186373
Spectral Data 495[nm],0.001224043779
Spectral Data 500[nm],0.001398417284
Spectral Data 505[nm],0.001650732593
Spectral Data 510[nm],0.001979317982
Spectral Data 515[nm],0.002370973816
Spectral Data 520[nm],0.002786834724
Spectral Data 525[nm],0.003184802132
Spectral Data 530[nm],0.003538084682
Spectral Data 535[nm],0.003846315667
Spectral Data 540[nm],0.004155547358
Spectral Data 545[nm],0.004517622758
Spectral Data 550[nm],0.004992257338
Spectral Data 555[nm],0.005648894235
Spectral Data 560[nm],0.006565879099
Spectral Data 565[nm],0.007847519591
Spectral Data 570[nm],0.009539137594
Spectral Data 575[nm],0.011582625099
Spectral Data 580[nm],0.013860135339
Spectral Data 585[nm],0.016217825934
Spectral Data 590[nm],0.018382687122
Spectral Data 595[nm],0.020126627758
Spectral Data 600[nm],0.021461635828
Spectral Data 605[nm],0.022326081991
Spectral Data 610[nm],0.022638417780
Spectral Data 615[nm],0.022413171828
Spectral Data 620[nm],0.021878717467
Spectral Data 625[nm],0.021083852276
Spectral Data 630[nm],0.019974809140
Spectral Data 635[nm],0.018788794056
Spectral Data 640[nm],0.017562123016
Spectral Data 645[nm],0.016236830503
Spectral Data 650[nm],0.014940538444
Spectral Data 655[nm],0.013611231931
Spectral Data 660[nm],0.012329138815
Spectral Data 665[nm],0.011094405316
Spectral Data 670[nm],0.009935660288
Spectral Data 675[nm],0.008841563016
Spectral Data 680[nm],0.007850375958
Spectral Data 685[nm],0.006972053554
Spectral Data 690[nm],0.006158924196
Spectral Data 695[nm],0.005408262368
Spectral Data 700[nm],0.004768229090
Spectral Data 705[nm],0.004198308103
Spectral Data 710[nm],0.003679663641
Spectral Data 715[nm],0.003239712445
Spectral Data 720[nm],0.002836216940
Spectral Data 725[nm],0.002491745865
Spectral Data 730[nm],0.002197635826
Spectral Data 735[nm],0.001967741409
Spectral Data 740[nm],0.001794916810
Spectral Data 745[nm],0.001639767317
Spectral Data 750[nm],0.001514278119
Spectral Data 755[nm],0.001402584137
Spectral Data 760[nm],0.001298580552
Spectral Data 765[nm],0.001199889579
Spectral Data 770[nm],0.001100399648
Spectral Data 775[nm],0.001026180107
Spectral Data 780[nm],0.000903488719
