Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000006589814
Spectral Data 415[nm],0.000035992362
Spectral Data 420[nm],0.000087641332
Spectral Data 425[nm],0.000179037816
Spectral Data 430[nm],0.000340451312
Spectral Data 435[nm],0.000591101649
Spectral Data 440[nm],0.000912374991
Spectral Data 445[nm],0.001233007293
Spectral Data 450[nm],0.001455675461
Spectral Data 455[nm],0.001505629974
Spectral Data 460[nm],0.001366279088
Spectral Data 465[nm],0.001105536357
Spectral Data 470[nm],0.000837556378
Spectral Data 475[nm],0.000645277731
Spectral Data 480[nm],0.000542221649
Spectral Data 485[nm],0.000506093260
Spectral Data 490[nm],0.000521071721
Spectral Data 495[nm],0.000570009171
Spectral Data 500[nm],0.000637820456
Spectral Data 505[nm],0.000715805450
Spectral Data 510[nm],0.000795093016
Spectral Data 515[nm],0.000868825533
Spectral Data 520[nm],0.000933917414
Spectral Data 525[nm],0.000986114261
Spectral Data 530[nm],0.001023478224
Spectral Data 535[nm],0.001050432562
Spectral Data 540[nm],0.001067465986
Spectral Data 545[nm],0.001073786756
Spectral Data 550[nm],0.001073242864
Spectral Data 555[nm],0.001072688960
Spectral Data 560[nm],0.001071376260
Spectral Data 565[nm],0.001069828519
Spectral Data 570[nm],0.001070930623
Spectral Data 575[nm],0.001072279527
Spectral Data 580[nm],0.001070548198
Spectral Data 585[nm],0.001063717413
Spectral Data 590[nm],0.001047885511
Spectral Data 595[nm],0.001021994394
Spectral Data 600[nm],0.000995755545
Spectral Data 605[nm],0.000969965768
Spectral Data 610[nm],0.000935390941
Spectral Data 615[nm],0.000889216142
Spectral Data 620[nm],0.000839852612
Spectral Data 625[nm],0.000788177247
Spectral Data 630[nm],0.000730069471
Spectral Data 635[nm],0.000673334580
Spectral Data 640[nm],0.000618017220
Spectral Data 645[nm],0.000561200432
Spectral Data 650[nm],0.000506715034
Spectral Data 655[nm],0.000452401553
Spectral Data 660[nm],0.000402595440
Spectral Data 665[nm],0.000355188415
Spectral Data 670[nm],0.000311765965
Spectral Data 675[nm],0.000273006561
Spectral Data 680[nm],0.000238291163
Spectral Data 685[nm],0.000207674224
Spectral Data 690[nm],0.000180416871
Spectral Data 695[nm],0.000156631999
Spectral Data 700[nm],0.000136063827
Spectral Data 705[nm],0.000119153257
Spectral Data 710[nm],0.000104038772
Spectral Data 715[nm],0.000089689202
Spectral Data 720[nm],0.000076021606
Spectral Data 725[nm],0.000064856715
Spectral Data 730[nm],0.000057502708
Spectral Data 735[nm],0.000052009585
Spectral Data 740[nm],0.000048225553
Spectral Data 745[nm],0.000045024837
Spectral Data 750[nm],0.000041700769
Spectral Data 755[nm],0.000038169739
Spectral Data 760[nm],0.000033916993
Spectral Data 765[nm],0.000029828005
Spectral Data 770[nm],0.000026751408
Spectral Data 775[nm],0.000024983940
Spectral Data 780[nm],0.000017879625
