Spectral Data 380[nm],0.000574876205
Spectral Data 385[nm],0.000769873033
Spectral Data 390[nm],0.001045016805
Spectral Data 395[nm],0.001384251518
Spectral Data 400[nm],0.001797340228
Spectral Data 405[nm],0.002222844865
Spectral Data 410[nm],0.002562576672
Spectral Data 415[nm],0.002760027070
Spectral Data 420[nm],0.002857796382
Spectral Data 425[nm],0.002921313047
Spectral Data 430[nm],0.003001753474
Spectral Data 435[nm],0.003144741058
Spectral Data 440[nm],0.003374148160
Spectral Data 445[nm],0.003642851254
Spectral Data 450[nm],0.003870477900
Spectral Data 455[nm],0.004026540555
Spectral Data 460[nm],0.004114179872
Spectral Data 465[nm],0.004155613016
Spectral Data 470[nm],0.004170777742
Spectral Data 475[nm],0.004177582916
Spectral Data 480[nm],0.004182541277
Spectral Data 485[nm],0.004175284412
Spectral Data 490[nm],0.004160847981
Spectral Data 495[nm],0.004162624478
Spectral Data 500[nm],0.004195461981
Spectral Data 505[nm],0.004274812061
Spectral Data 510[nm],0.004409269430
Spectral Data 515[nm],0.004600330256
Spectral Data 520[nm],0.004817938432
Spectral Data 525[nm],0.005000630394
Spectral Data 530[nm],0.005107885227
Spectral Data 535[nm],0.005120294634
Spectral Data 540[nm],0.005018321797
Spectral Data 545[nm],0.004824816715
Spectral Data 550[nm],0.004580249079
Spectral Data 555[nm],0.004334409256
Spectral Data 560[nm],0.004083918873
Spectral Data 565[nm],0.003836826654
Spectral Data 570[nm],0.003621864831
Spectral Data 575[nm],0.003433924168
Spectral Data 580[nm],0.003274397692
Spectral Data 585[nm],0.003139184322
Spectral Data 590[nm],0.003011193592
Spectral Data 595[nm],0.002900499618
Spectral Data 600[nm],0.002848510398
Spectral Data 605[nm],0.002850007266
Spectral Data 610[nm],0.002837477252
Spectral Data 615[nm],0.002770793391
Spectral Data 620[nm],0.002685376676
Spectral Data 625[nm],0.002606294118
Spectral Data 630[nm],0.002527871169
Spectral Data 635[nm],0.002464338206
Spectral Data 640[nm],0.002403895603
Spectral Data 645[nm],0.002332309727
Spectral Data 650[nm],0.002264531096
Spectral Data 655[nm],0.002209213329
Spectral Data 660[nm],0.002193914028
Spectral Data 665[nm],0.002198499860
Spectral Data 670[nm],0.002190522151
Spectral Data 675[nm],0.002131507499
Spectral Data 680[nm],0.002027760493
Spectral Data 685[nm],0.001909132465
Spectral Data 690[nm],0.001812519506
Spectral Data 695[nm],0.001753766323
Spectral Data 700[nm],0.001725348993
Spectral Data 705[nm],0.001693929662
Spectral Data 710[nm],0.001602948760
Spectral Data 715[nm],0.001467587892
Spectral Data 720[nm],0.001346338540
Spectral Data 725[nm],0.001301487559
Spectral Data 730[nm],0.001359465765
Spectral Data 735[nm],0.001477172016
Spectral Data 740[nm],0.001584244194
Spectral Data 745[nm],0.001604838297
Spectral Data 750[nm],0.001515904325
Spectral Data 755[nm],0.001359801739
Spectral Data 760[nm],0.001211041701
Spectral Data 765[nm],0.001149197458
Spectral Data 770[nm],0.001197487232
Spectral Data 775[nm],0.001284144004
Spectral Data 780[nm],0.001332434244
